Client family name	Date Time of recording	Time of sample in recording	Time of sample in annot	Prompt	Annotation Title	X0 DLC_Tongue	Y0 DLC_Tongue	X1 DLC_Tongue	Y1 DLC_Tongue	X2 DLC_Tongue	Y2 DLC_Tongue	X3 DLC_Tongue	Y3 DLC_Tongue	X4 DLC_Tongue	Y4 DLC_Tongue	X5 DLC_Tongue	Y5 DLC_Tongue	X6 DLC_Tongue	Y6 DLC_Tongue	X7 DLC_Tongue	Y7 DLC_Tongue	X8 DLC_Tongue	Y8 DLC_Tongue	X9 DLC_Tongue	Y9 DLC_Tongue	X10 DLC_Tongue	Y10 DLC_Tongue	X0 DLC_HyoidMandible	Y0 DLC_HyoidMandible	X1 DLC_HyoidMandible	Y1 DLC_HyoidMandible	X0 DLC_ShorttendonMandible	Y0 DLC_ShorttendonMandible	X1 DLC_ShorttendonMandible	Y1 DLC_ShorttendonMandible
eu01	08/05/2024 11:58:17	0.96	0.06	Eta guai oso hitza esanko dot	s̺	-3.383	-50.7359	-10.4874	-42.9063	-14.6999	-32.8056	-13.3174	-21.1401	-10.5006	-9.445	-4.2209	-2.3751	7.5268	1.9595	13.5679	4.2559	18.5219	5.2259	24.0865	6.3448	30.0321	6.559	8.7992	-50.7485	46.1809	-31.2436	41.4796	-23.4478	46.1809	-31.2436
eu01	08/05/2024 11:58:22	0.945	0.035	Eta guai lastaira hitza esanko dot	s̺	-5.2571	-50.8886	-11.3842	-41.2809	-13.8175	-31.5577	-11.1414	-21.2866	-2.4054	-12.1826	5.885	-4.8363	16.1664	2.5306	21.9864	4.2862	26.7669	5.8578	31.6005	7.3401	37.3848	7.8826	7.7505	-52.0018	47.945	-33.6249	42.694	-27.8253	47.945	-33.6249
eu01	08/05/2024 11:58:27	1.325	0.025	Eta guai endaitza hitza esanko dot	s̻	-0.024	-47.4775	-7.921	-37.1424	-6.614	-25.8047	-2.5829	-15.9137	-2.0543	-3.7167	4.4897	7.8583	15.1537	10.3618	20.8854	9.6554	26.7289	9.3795	31.8404	8.77	37.9759	7.7872	9.0649	-51.3793	43.3058	-33.2838	38.4945	-26.3564	43.3058	-33.2838
eu01	08/05/2024 11:58:59	1.115	0.035	Eta guai hatza hitza esanko dot	s̻	-1.7837	-50.4482	-10.1052	-40.7953	-10.9334	-28.8656	-8.1336	-18.3117	-3.5487	-7.2662	4.7526	2.3619	16.4421	5.4471	21.6582	5.5574	26.3177	5.2887	31.6422	5.7193	37.6379	6.147	6.8914	-52.9195	43.9589	-32.3614	38.1242	-25.9594	43.9589	-32.3614
eu01	08/05/2024 11:59:05	0.9	0.05	Eta guai desigualdade hitza esanko dot	s̺	0.3429	-49.769	-5.4047	-37.2045	-8.1809	-25.1932	-8.8023	-13.0844	-6.2004	-1.5044	1.3647	9.0232	12.8874	10.5526	18.11	8.976	23.4584	8.071	28.6538	6.8429	34.8523	5.8835	7.7054	-57.4295	46.4155	-32.5966	38.0479	-26.853	46.4155	-32.5966
eu01	08/05/2024 11:59:47	1.17	0.04	Eta guai bebuz hitza esanko dot	s̻	1.617	-49.3181	-1.4596	-37.1922	-2.6882	-24.2032	-3.7402	-12.8841	-5.4787	0.5717	2.4027	10.6835	12.6043	12.723	18.4439	12.7424	23.8499	12.6428	29.6103	12.5663	35.218	12.6779	11.3384	-57.7109	44.9492	-31.7228	38.036	-26.2851	44.9492	-31.7228
eu01	08/05/2024 12:00:00	0.965	0.045	Eta guai musu hitza esanko dot	s̺	-0.2972	-52.0166	-5.9903	-41.2312	-10.2141	-28.6808	-10.9605	-17.7991	-8.414	-5.6174	-1.7365	4.8595	10.5043	7.8304	16.042	7.5982	22.1797	8.2428	27.7899	8.9422	33.558	8.0636	10.3931	-56.3979	46.1928	-35.1202	38.2647	-27.2437	46.1928	-35.1202
eu01	08/05/2024 12:00:10	0.96	0.03	Eta guai auztaile hitza esanko dot	s̻	-3.1577	-53.6107	-10.5432	-44.6104	-13.0205	-33.209	-11.3248	-22.2252	-8.3387	-10.4575	0.8906	-2.6716	12.8727	0.5549	18.3987	2.0218	24.001	3.5635	29.5653	5.7279	34.5709	7.7916	8.7645	-53.037	48.2697	-35.7667	38.9866	-28.6997	48.2697	-35.7667
eu01	08/05/2024 12:02:04	1.4	0.04	Eta guai bihozbeiko hitza esanko dot	s̻	-3.5869	-53.3168	-11.5913	-44.7759	-14.3901	-32.4981	-12.7617	-21.3554	-5.4144	-9.6378	3.0854	0.1748	15.5804	4.5857	21.7809	5.2724	27.3374	5.9133	32.7708	7.4565	38.0683	8.7555	7.1977	-53.6611	46.5686	-33.8826	37.8794	-27.9972	46.5686	-33.8826
eu01	08/05/2024 12:02:27	1.09	0.03	Eta guai zorroztaile hitza esanko dot	s̻	-4.5633	-51.1857	-12.4438	-43.8981	-15.7931	-33.1127	-14.572	-22.0648	-9.9245	-11.0834	-1.1902	-3.7342	12.7173	1.2734	18.3043	3.0148	23.7286	4.5891	29.2911	6.596	34.6425	8.6487	8.794	-51.5078	47.2047	-32.5456	42.2836	-26.1582	47.2047	-32.5456
eu01	08/05/2024 12:02:27	0.885	0.045	Eta guai zorroztaile hitza esanko dot	s̻	-4.658	-50.8963	-11.6871	-41.8329	-15.4283	-32.0545	-15.2727	-20.8444	-11.504	-9.5432	-3.3124	-1.2833	9.819	2.9078	16.232	4.0451	21.9595	6.5008	28.2332	8.2884	33.6615	8.5933	6.5248	-54.0501	43.9503	-33.4056	37.992	-26.6637	43.9503	-33.4056
eu01	08/05/2024 12:02:52	0.88	0.06	Eta guai bizi hitza esanko dot	s̻	3.1895	-51.5856	-0.6592	-39.7233	-0.4042	-24.0921	-0.7435	-11.4429	-2.7163	0.9374	2.5043	12.6936	13.5538	15.8303	19.2733	15.8471	24.494	14.906	29.7936	13.1005	34.5296	10.7245	11.1909	-58.6998	45.647	-28.8981	38.7031	-23.1529	45.647	-28.8981
